type,volatile acidity,chlorides,density,pH,alcohol,quality
white,0.16,0.043,0.9936,3.06,9.9,6
white,0.17,0.036,0.99126,3.02,10.7,6
white,0.2,0.048,0.99044,2.94,12,6
white,0.33,0.042,0.99123,2.97,12.2,8
white,0.33,0.036,0.99123,2.99,12.4,8
white,0.36,0.038,0.9916,3,12.4,8
white,0.21,0.039,0.9959,3.02,10.3,6
white,0.2,0.048,0.99044,2.94,12,6
white,0.41,0.05,0.9931,3.3,10.5,5
white,0.15,0.051,0.99422,3.1,9.5,6
white,0.2,0.046,0.99194,3,10.5,4
white,0.24,0.027,0.98926,3.24,12.3,6
white,0.16,0.025,0.99306,2.93,11.9,6
white,0.12,0.038,0.99164,3.25,9.8,5
white,0.24,0.027,0.98926,3.24,12.3,6
white,0.1,0.04,0.98988,3.14,11.4,7
white,0.21,0.041,0.99268,3.21,11,6
white,0.3,0.046,0.99373,3.06,10.8,4
white,0.18,0.027,0.98939,3.24,12.8,7
white,0.17,0.055,0.99318,3.11,11,8
white,0.19,0.035,0.99196,3.15,10.2,5
white,0.28,0.026,0.98952,3.32,12.5,7
white,0.24,0.037,0.9911,3.06,11.6,6
white,0.16,0.025,0.99306,2.93,11.9,6
white,0.12,0.038,0.99164,3.25,9.8,5
white,0.16,0.036,0.99111,3.26,11,5
white,0.21,0.037,0.99321,3.14,10.9,6
white,0.22,0.044,0.99326,2.97,11,7
white,0.34,0.027,0.99124,2.96,12.5,6
white,0.22,0.044,0.99326,2.97,11,7
white,0.21,0.032,0.99214,3.18,12,7
white,0.31,0.031,0.9897,3.14,12.4,7
white,0.34,0.027,0.99124,2.96,12.5,6
white,0.42,0.022,0.98915,3.22,12.8,7
white,0.22,0.044,0.99326,2.97,11,7
white,0.28,0.035,0.99692,3.33,9.1,5
white,0.45,0.033,0.991,3.11,12.4,7
white,0.29,0.031,0.9913,3.15,12.9,7
white,0.21,0.045,0.99234,3.09,10.9,6
white,0.25,0.045,0.99402,3.53,10.8,5
white,0.21,0.04,0.99678,3.11,10.6,5
white,0.33,0.053,0.99458,3.13,9,5
white,0.3,0.043,0.99452,3.04,12,6
white,0.24,0.041,0.99033,3.25,11.8,5
white,0.18,0.041,0.9927,3.01,10.6,6
white,0.335,0.033,0.99002,3.34,12.3,6
white,0.14,0.104,0.99057,3.19,11.5,6
white,0.13,0.044,0.99127,2.97,11.1,5
white,0.33,0.053,0.99458,3.13,9,5
white,0.29,0.142,0.9927,3,9.9,4
white,0.35,0.036,0.98938,3.27,12.8,7
white,0.38,0.102,0.99001,2.93,12.9,5
white,0.24,0.034,0.99386,3.1,12.9,6
white,0.16,0.037,0.9899,3.01,12,6
white,0.3,0.043,0.99452,3.04,12,6
white,0.15,0.045,0.9913,3.22,11.2,6
white,0.33,0.041,0.98916,3.11,13.3,7
white,0.2,0.046,0.99276,3.34,9.9,6
white,0.27,0.055,0.99586,3.11,9.5,6
white,0.27,0.054,0.99556,3.12,9.4,6
white,0.2,0.047,0.99158,3.48,11,7
white,0.13,0.056,0.99548,2.96,9.4,6
white,0.21,0.038,0.99206,2.98,11.5,6
white,0.31,0.038,0.99412,3.14,12.5,5
white,0.2,0.035,0.99364,3.18,11.9,6
white,0.25,0.054,0.99338,3.26,10.4,6
white,0.15,0.045,0.9913,3.22,11.2,6
white,0.22,0.035,0.99123,3.11,12.5,6
white,0.23,0.039,0.99216,3.18,11,7
white,0.27,0.059,0.99328,3.09,9.8,5
white,0.34,0.034,0.99031,3.1,12.3,7
white,0.16,0.036,0.9908,3.18,11,6
white,0.3,0.036,0.98871,3.1,12.6,7
white,0.29,0.036,0.99119,3.31,11.6,6
white,0.34,0.034,0.99031,3.1,12.3,7
white,0.21,0.02,0.99146,3.19,13.4,7
white,0.27,0.059,0.99328,3.09,9.8,5
white,0.22,0.034,0.99245,3.18,11.5,6
white,0.27,0.037,0.99116,3.04,11.6,6
white,0.25,0.039,0.9921,3.18,11.1,7
white,0.23,0.039,0.99216,3.18,11,7
white,0.13,0.043,0.99162,3.06,11.3,6
white,0.24,0.043,0.99632,3.08,9.9,6
white,0.26,0.025,0.99082,3.06,12.6,8
white,0.3,0.029,0.9905,3.3,11.8,8
white,0.38,0.042,0.99177,3.03,11.4,5
white,0.19,0.045,0.9986,3.1,9.2,6
white,0.19,0.045,0.9986,3.1,9.2,6
white,0.19,0.045,0.9986,3.1,9.2,6
white,0.19,0.045,0.9986,3.1,9.2,6
white,0.19,0.045,0.9986,3.1,9.2,6
white,0.19,0.045,0.9986,3.1,9.2,6
white,0.32,0.03,0.98923,3.21,13,5
white,0.19,0.047,1.00014,3.1,9.3,7
white,0.26,0.03,0.99026,3.22,12.6,8
white,0.24,0.035,0.99358,3.34,9.6,6
white,0.215,0.041,0.99688,3.42,8,3
white,0.24,0.03,0.99407,3.11,11.8,6
white,0.23,0.043,0.99226,3.21,10.2,6
white,0.33,0.051,0.99097,3.32,12.7,6
white,0.38,0.061,0.9976,3.31,9.4,5
white,0.15,0.044,0.99166,3.1,10.2,5
white,0.32,0.044,0.99184,3.28,12,7
white,0.22,0.045,0.99135,3.08,11.3,7
white,0.23,0.038,0.99074,3.32,11.8,7
white,0.22,0.039,0.99193,3.45,10.9,5
white,0.48,0.043,0.99226,3.14,9.8,4
white,0.23,0.06,0.99142,3.23,12.2,8
white,0.16,0.057,0.99091,3.23,11.1,7
white,0.38,0.061,0.9976,3.31,9.4,5
white,0.16,0.065,0.99134,3.06,11.4,6
white,0.15,0.044,0.99166,3.1,10.2,5
white,0.32,0.051,0.98964,3.13,12.8,6
white,0.12,0.039,0.99229,3.07,10.1,7
white,0.2,0.184,0.99396,2.93,9.4,6
white,0.34,0.035,0.99148,2.91,12.2,6
white,0.21,0.046,0.9913,3.07,10.9,7
white,0.23,0.047,0.99126,3.06,10.9,7
white,0.21,0.046,0.9913,3.07,10.9,7
white,0.2,0.184,0.99396,2.93,9.4,6
white,0.28,0.044,0.99562,3.14,9.4,5
white,0.25,0.043,0.99128,3.08,11.4,5
white,0.12,0.044,0.98896,3.17,12.9,8
white,0.28,0.046,0.99558,3.14,9.4,5
white,0.17,0.04,0.98961,2.91,12,7
white,0.25,0.043,0.99338,3.38,10.1,6
white,0.28,0.046,0.99558,3.14,9.4,5
white,0.28,0.044,0.99562,3.14,9.4,5
white,0.25,0.047,0.99572,3.17,9.2,5
white,0.24,0.039,0.99056,3.34,11.8,6
white,0.32,0.029,0.99146,3,12.3,7
white,0.25,0.043,0.99128,3.08,11.4,5
white,0.12,0.044,0.98896,3.17,12.9,8
white,0.24,0.032,0.99172,3.13,12.3,6
white,0.22,0.032,0.99012,3.27,13.5,7
white,0.32,0.033,0.98912,3.29,12.8,7
white,0.19,0.022,0.98902,3.04,12.8,7
white,0.32,0.033,0.98912,3.29,12.8,7
white,0.24,0.037,0.99395,2.9,11,3
white,0.35,0.039,0.99539,3.2,10.6,6
white,0.46,0.039,0.99129,3.16,12.4,7
white,0.3,0.048,0.98956,3.22,12.9,7
white,0.19,0.047,0.9916,3.54,11.1,7
white,0.24,0.032,0.98889,3.08,12.9,7
white,0.145,0.042,0.99012,3.1,11.8,7
white,0.435,0.058,0.99833,3.23,9.1,6
white,0.18,0.036,0.98853,3.09,12.7,7
white,0.18,0.036,0.98942,3.16,12,6
white,0.32,0.043,0.99266,3.24,11.2,6
white,0.16,0.042,0.98962,3.19,12.4,7
white,0.21,0.047,0.99168,3.5,10.4,5
white,0.29,0.05,0.9968,3.06,10.4,5
white,0.26,0.04,0.98934,3.29,12.7,6
white,0.26,0.039,0.98995,3.48,12.5,7
white,0.17,0.037,0.991,3.14,12,6
white,0.17,0.047,0.99152,3.16,11.6,6
white,0.25,0.035,0.99048,3.12,12.6,7
white,0.17,0.042,0.99204,3.15,10.2,5
white,0.17,0.036,0.99202,3.43,10.4,7
white,0.24,0.038,0.9906,3.3,11.5,5
white,0.21,0.049,0.99091,3.02,11,6
white,0.23,0.048,0.99472,3.11,10.1,6
white,0.23,0.046,0.99452,3.08,10.5,6
white,0.22,0.059,0.99177,3.23,12.1,7
white,0.165,0.047,0.9934,3.18,9.9,6
white,0.425,0.034,0.99082,3.05,11.4,6
white,0.38,0.048,0.99784,3,9.5,6
white,0.38,0.048,0.99784,3,9.5,6
white,0.38,0.048,0.99784,3,9.5,6
white,0.27,0.046,0.99665,3.17,10.9,6
white,0.17,0.05,0.99422,3.08,9.5,6
white,0.3,0.048,0.98999,3.32,12.6,6
white,0.17,0.05,0.99422,3.08,9.5,6
white,0.26,0.059,0.99254,3.18,11.1,5
white,0.36,0.048,0.99782,3,9.5,7
white,0.38,0.048,0.99784,3,9.5,6
white,0.18,0.058,0.9952,3.13,10.6,6
white,0.18,0.057,0.99519,3.12,10.6,6
white,0.16,0.055,0.99384,3.15,10.8,6
white,0.27,0.046,0.99665,3.17,10.9,6
white,0.17,0.047,0.99596,3.34,9.9,6
white,0.22,0.06,0.9935,3.08,11.3,6
white,0.22,0.034,0.98862,3.22,12.6,6
white,0.36,0.034,0.99151,2.96,12.5,6
white,0.43,0.032,0.9922,3.02,12.4,6
white,0.2,0.038,0.99426,3.31,11.8,7
white,0.32,0.026,0.99168,3.18,12.2,6
white,0.2,0.048,0.99556,3.19,10.7,6
white,0.22,0.033,0.99356,3.17,11.3,7
white,0.36,0.034,0.99151,2.96,12.5,6
white,0.43,0.032,0.9922,3.02,12.4,6
white,0.18,0.033,0.99072,3.05,11.3,7
white,0.17,0.047,0.99596,3.34,9.9,6
white,0.22,0.06,0.9935,3.08,11.3,6
white,0.22,0.034,0.98862,3.22,12.6,6
white,0.2,0.033,0.98954,3.14,11.5,6
white,0.2,0.033,0.99076,2.98,12.3,7
white,0.3,0.032,0.9889,2.97,12.2,6
white,0.29,0.033,0.98794,3.08,13.2,6
white,0.18,0.041,0.99207,3.13,10.2,6
white,0.22,0.039,0.99355,3.05,11.5,7
white,0.29,0.033,0.98794,3.08,13.2,6
white,0.3,0.032,0.9889,2.97,12.2,6
white,0.15,0.051,0.99336,3.47,11,6
white,0.28,0.034,0.98882,2.98,13.2,7
white,0.19,0.045,0.99341,3.32,9.5,5
white,0.22,0.047,0.997,3.25,10.2,6
white,0.18,0.041,0.99207,3.13,10.2,6
white,0.4,0.05,0.99174,3,11.4,6
white,0.28,0.03,0.99042,3.16,12.5,8
white,0.36,0.046,0.9984,3.01,9.2,5
white,0.28,0.04,0.99111,3.28,12.1,7
white,0.19,0.045,0.9933,3.1,10.7,7
white,0.28,0.04,0.99111,3.28,12.1,7
white,0.22,0.046,0.99316,3.38,11.2,6
white,0.23,0.044,0.9946,3.25,10.6,6
white,0.32,0.037,0.99,3.06,11.8,6
white,0.28,0.03,0.99042,3.16,12.5,8
white,0.36,0.046,0.9984,3.01,9.2,5
white,0.39,0.096,0.99016,2.95,12.6,6
white,0.24,0.026,0.99381,3.13,12.8,7
white,0.29,0.026,0.99144,3,12.3,6
white,0.28,0.026,0.99139,2.99,12.3,8
white,0.38,0.036,0.9919,2.98,12.4,6
white,0.28,0.03,0.99192,2.93,12.3,6
white,0.25,0.048,0.99576,3.2,9.1,5
white,0.26,0.047,0.9958,3.2,9.1,5
white,0.29,0.032,0.9951,3.1,10.6,6
white,0.19,0.042,0.99304,3.19,10.3,6
white,0.33,0.052,0.99657,3.39,9.5,5
white,0.32,0.037,0.99268,3.25,11.1,6
white,0.46,0.054,0.99392,3.12,10.8,6
white,0.19,0.028,0.99242,2.94,11.2,5
white,0.46,0.054,0.99392,3.12,10.8,6
white,0.27,0.024,0.9925,2.87,11.4,5
white,0.18,0.034,0.99092,3.21,11.2,6
white,0.15,0.037,0.99137,3.19,10.2,6
white,0.32,0.037,0.99268,3.25,11.1,6
white,0.33,0.052,0.99657,3.39,9.5,5
white,0.32,0.041,0.99642,3.12,10.2,6
white,0.23,0.051,0.9916,3.37,11,3
white,0.3,0.032,0.99458,3.15,11.5,7
white,0.14,0.036,0.99373,3.05,9.8,6
white,0.24,0.042,0.99586,3.11,10.1,6
white,0.21,0.05,0.99942,2.95,8.8,6
white,0.3,0.032,0.99458,3.15,11.5,7
white,0.3,0.031,0.9895,3.39,12.7,7
white,0.37,0.032,0.9963,3.1,9.8,6
white,0.64,0.03,0.9892,3.16,12.9,4
white,0.37,0.032,0.9963,3.1,9.8,6
white,0.3,0.031,0.9895,3.39,12.7,7
white,0.28,0.06,1.00196,3.01,8.5,5
white,0.29,0.059,0.99036,3.24,12.7,8
white,0.28,0.026,0.989,2.98,13.1,8
white,0.18,0.051,0.99947,3.35,9.1,5
white,0.32,0.034,0.9916,3.36,12.5,6
white,0.17,0.047,0.99945,3.34,9.1,6
white,0.17,0.047,0.99945,3.34,9.1,6
white,0.24,0.039,0.99375,3.33,11.2,6
white,0.32,0.034,0.9916,3.36,12.5,6
white,0.18,0.051,0.99947,3.35,9.1,5
white,0.17,0.047,0.99945,3.34,9.1,6
white,0.18,0.047,0.99946,3.34,9.1,6
white,0.29,0.044,0.99153,3.24,11.5,5
white,0.255,0.037,0.98834,3.05,12.9,7
white,0.34,0.076,0.99138,2.95,12.5,6
white,0.24,0.034,0.98928,3.25,12.3,6
white,0.24,0.041,0.99246,3.1,11.4,6
white,0.4,0.052,0.99576,3.22,9.4,5
white,0.3,0.057,0.99956,3.11,9.1,5
white,0.4,0.052,0.99576,3.22,9.4,5
white,0.17,0.04,0.99026,3.16,12,5
white,0.25,0.04,0.99174,3.18,11.1,5
white,0.27,0.035,0.99058,3.1,11.8,7
white,0.16,0.042,0.9905,3.24,11.4,6
white,0.3,0.057,0.99956,3.11,9.1,5
white,0.15,0.033,0.99192,3.19,12.1,8
white,0.34,0.057,0.99554,3.15,10.4,6
white,0.17,0.044,0.99536,3.12,9.2,6
white,0.47,0.034,0.99056,3.29,13,7
white,0.15,0.033,0.99192,3.19,12.1,8
white,0.21,0.029,0.99112,2.93,11.5,7
white,0.21,0.029,0.99112,2.93,11.5,7
white,0.24,0.047,0.99616,3.23,10,5
white,0.34,0.038,0.99266,3.25,11.1,6
white,0.54,0.033,0.98918,3.26,12.4,5
white,0.23,0.031,0.98926,2.9,12.2,6
white,0.39,0.042,0.99114,3.06,10.6,5
white,0.105,0.037,0.9912,3.41,11.1,7
white,0.32,0.027,0.98936,3.36,13.9,7
white,0.22,0.056,0.9983,2.99,9.2,6
white,0.19,0.055,0.99532,2.98,10.5,6
white,0.24,0.042,0.99189,3.04,11.3,8
white,0.17,0.04,0.99,3.24,12.9,6
white,0.3,0.035,0.98914,3.26,12.9,7
white,0.29,0.046,0.99537,3.12,9.6,5
white,0.19,0.04,0.99,3.25,12.9,6
white,0.17,0.04,0.99,3.24,12.9,6
white,0.24,0.047,0.99742,3.04,8.8,5
white,0.16,0.031,0.98884,3.23,13.2,8
white,0.22,0.056,0.9983,2.99,9.2,6
white,0.24,0.042,0.99189,3.04,11.3,8
white,0.19,0.055,0.99532,2.98,10.5,6
white,0.16,0.045,0.99284,3.3,10.5,6
white,0.3,0.038,0.99026,3.2,12.6,8
white,0.22,0.064,0.99297,3.05,9.5,6
white,0.36,0.06,0.99711,3.31,9.8,6
white,0.37,0.032,0.98934,3.04,13.4,8
white,0.31,0.037,0.9913,3.05,11.8,7
white,0.36,0.06,0.99711,3.31,9.8,6
white,0.32,0.039,0.98964,3.22,13.1,7
white,0.3,0.038,0.99026,3.2,12.6,8
white,0.22,0.047,0.992,3.26,10.4,5
white,0.45,0.033,0.98944,3.22,13.4,8
white,0.36,0.035,0.99031,3.06,13,7
white,0.37,0.032,0.98934,3.04,13.4,8
white,0.21,0.056,0.99393,3.11,10.2,7
white,0.28,0.039,0.9904,3.07,11.7,6
white,0.22,0.064,0.99297,3.05,9.5,6
white,0.2,0.036,0.99088,3.03,11.7,6
white,0.28,0.041,0.99254,3.04,11.4,8
white,0.31,0.037,0.9913,3.05,11.8,7
white,0.2,0.057,0.99158,3.09,11.2,6
white,0.28,0.036,0.99408,3.19,13,7
white,0.28,0.036,0.99408,3.19,13,7
white,0.24,0.042,0.99473,3.34,10.9,6
white,0.22,0.042,0.98998,3.14,11.6,7
white,0.24,0.038,0.99146,3.3,11.3,7
white,0.43,0.032,0.99742,3.29,12,6
white,0.3,0.052,0.99273,3.38,10.5,6
white,0.33,0.036,0.98922,3.31,13.1,7
white,0.28,0.036,0.99408,3.19,13,7
white,0.24,0.042,0.99473,3.34,10.9,6
white,0.29,0.054,0.99869,3.14,9.1,5
white,0.33,0.04,0.9896,3.18,13.4,7
white,0.16,0.029,0.99108,3.33,11.5,7
white,0.2,0.031,0.99134,3.38,11.2,7
white,0.33,0.042,0.99385,3.36,10.9,6
white,0.36,0.036,0.98936,3.19,13.5,7
white,0.29,0.054,0.99869,3.14,9.1,5
white,0.26,0.046,0.99606,3.17,9.9,6
white,0.22,0.041,0.99508,2.98,10.5,6
white,0.19,0.046,0.99038,3.18,11.7,7
white,0.21,0.043,0.99158,3.49,11,6
white,0.35,0.032,0.9932,2.99,13,6
white,0.38,0.03,0.99164,2.93,13.6,6
white,0.19,0.031,0.98987,3.08,12.3,7
white,0.33,0.044,0.98947,3.25,13.3,7
white,0.29,0.036,0.98819,3.08,13.7,7
white,0.2,0.05,0.99133,3.19,11.1,5
white,0.33,0.038,0.99143,3.23,13.4,7
white,0.23,0.048,0.99571,3.05,9.1,5
white,0.23,0.038,0.99139,3.31,11.3,7
white,0.32,0.048,0.99537,3.2,9.4,5
white,0.23,0.048,0.99571,3.05,9.1,5
white,0.36,0.028,0.99186,3.37,11.6,6
white,0.36,0.028,0.99186,3.37,11.6,6
white,0.27,0.024,0.98984,3.01,12.4,6
white,0.23,0.053,0.9963,3.11,9.8,6
white,0.75,0.036,0.99312,3.09,11.1,4
white,0.35,0.034,0.9897,3.26,13.1,7
white,0.31,0.046,0.9955,3.14,9.7,5
white,0.28,0.048,0.99528,3.15,9.2,5
white,0.23,0.036,0.99279,3.1,11.7,6
white,0.22,0.045,0.99704,3.14,10.6,6
white,0.31,0.046,0.9955,3.14,9.7,5
white,0.28,0.048,0.99528,3.15,9.2,5
white,0.24,0.032,0.9914,3.1,10.9,6
white,0.27,0.146,0.99224,3.23,10.1,5
white,0.28,0.029,0.99074,3.17,12.2,7
white,0.27,0.031,0.98892,3.03,12.7,6
white,0.28,0.024,0.98959,2.98,13,6
white,0.26,0.03,0.99212,3.16,11.2,6
white,0.23,0.036,0.99576,3.2,9.4,6
white,0.33,0.031,0.9919,3.41,11,6
white,0.33,0.031,0.9919,3.41,11,6
white,0.2,0.039,1.00037,3.1,9.2,6
white,0.23,0.036,0.99576,3.2,9.4,6
white,0.2,0.039,1.00037,3.1,9.2,6
white,0.47,0.029,0.992,3.22,12.3,6
white,0.33,0.031,0.9919,3.41,11,6
white,0.14,0.022,0.99218,3.04,10,6
white,0.22,0.044,0.99855,3.24,9,6
white,0.22,0.044,0.99855,3.24,9,6
white,0.22,0.044,0.99855,3.24,9,6
white,0.2,0.023,0.99062,2.92,11.1,6
white,0.14,0.042,0.99362,3.06,9.9,6
white,0.21,0.037,0.99324,3.66,12.2,7
white,0.2,0.023,0.99062,2.92,11.1,6
white,0.22,0.044,0.99855,3.24,9,6
white,0.34,0.031,0.99098,3.01,11.8,4
white,0.64,0.032,0.99036,3.11,12.9,6
white,0.48,0.05,0.99398,2.86,9,5
white,0.37,0.028,0.9903,3.01,12.4,6
white,0.48,0.05,0.99398,2.86,9,5
white,0.64,0.032,0.99036,3.11,12.9,6
white,0.25,0.036,0.99406,2.99,11.2,6
white,0.38,0.029,0.9906,3,12.6,6
white,0.26,0.031,0.99089,3.12,11.5,6
white,0.15,0.035,0.99096,3.07,11.3,7
white,0.25,0.036,0.99406,2.99,11.2,6
white,0.26,0.031,0.99089,3.12,11.5,6
white,0.655,0.033,0.9936,3.32,10.5,4
white,0.38,0.029,0.9906,3,12.6,6
white,0.31,0.027,0.9911,3.15,11.9,6
white,0.17,0.036,0.99396,3.18,10.1,6
white,0.18,0.027,0.99089,3.15,11,7
white,0.28,0.048,0.9968,3.14,10.6,5
white,0.23,0.035,0.99138,3.04,11.3,7
white,0.22,0.038,0.99098,3.1,11.2,4
white,0.25,0.028,0.99238,2.94,11.5,7
white,0.3,0.026,0.99244,2.92,11.1,5
white,0.26,0.023,0.99176,3.14,12.8,7
white,0.32,0.037,0.98993,3.3,12.3,6
white,0.24,0.041,0.9929,3.26,10.4,6
white,0.25,0.028,0.99238,2.94,11.5,7
white,0.24,0.032,0.98988,3.16,11.7,7
white,0.28,0.044,0.992,3.35,10.7,7
white,0.19,0.042,0.99784,2.85,9.5,6
white,0.19,0.042,0.99784,2.85,9.5,6
white,0.19,0.042,0.99784,2.85,9.5,6
white,0.19,0.037,0.99006,3.18,12,7
white,0.28,0.053,0.99211,3.31,10.8,5
white,0.28,0.043,0.99202,3.35,10.7,7
white,0.28,0.044,0.992,3.35,10.7,7
white,0.19,0.049,0.99332,3.12,10.7,7
white,0.16,0.031,0.98958,3.12,12.1,7
white,0.17,0.034,0.98939,3,11.9,7
white,0.19,0.042,0.99492,3.18,10.8,6
white,0.2,0.033,0.99043,3.59,12.3,7
white,0.39,0.053,0.99787,3.3,9.4,6
white,0.12,0.049,0.99654,3.2,9.9,6
white,0.295,0.039,0.99304,3.35,10.4,7
white,0.26,0.038,0.9952,3.35,10.4,6
white,0.32,0.027,0.99165,3.15,12.6,7
white,0.36,0.017,0.9892,2.93,12.5,6
white,0.35,0.056,0.99628,3.04,9.4,5
white,0.38,0.047,0.99604,3.11,9.2,5
white,0.14,0.047,0.99164,3.27,11.2,6
white,0.16,0.044,0.998,2.91,9.2,6
white,0.16,0.044,0.998,2.91,9.2,6
white,0.35,0.056,0.99628,3.04,9.4,5
white,0.14,0.047,0.99164,3.27,11.2,6
white,0.16,0.046,0.99226,3.27,10.8,6
white,0.16,0.044,0.998,2.91,9.2,6
white,0.38,0.047,0.99604,3.11,9.2,5
white,0.24,0.037,0.98914,2.96,12.5,6
white,0.32,0.041,0.99794,3,9.3,5
white,0.29,0.041,0.99048,3.21,11.4,5
white,0.27,0.044,0.99726,3.04,10,7
white,0.45,0.031,1.00295,3.06,10.6,6
white,0.2,0.04,0.99278,3.07,10.7,7
white,0.27,0.044,0.99726,3.04,10,7
white,0.24,0.037,0.98914,2.96,12.5,6
white,0.45,0.031,1.00295,3.06,10.6,6
white,0.36,0.029,0.99054,3.19,12.8,7
white,0.32,0.041,0.99794,3,9.3,5
white,0.29,0.041,0.99048,3.21,11.4,5
white,0.37,0.117,0.99459,3.24,9.5,5
white,0.38,0.117,0.99459,3.24,9.5,6
white,0.36,0.118,0.9946,3.24,9.5,6
white,0.3,0.036,0.99362,3.06,10.8,6
white,0.3,0.036,0.99362,3.06,10.8,6
white,0.21,0.045,0.99966,3.2,8.8,6
white,0.3,0.036,0.99362,3.06,10.8,6
white,0.31,0.021,0.99442,3.08,11,7
white,0.58,0.02,0.98918,3.29,12.4,6
white,0.26,0.02,0.99089,3.25,11.3,7
white,0.3,0.018,0.99474,3.12,11.2,7
white,0.29,0.014,0.99008,3.24,12.5,7
white,0.13,0.017,0.99348,3.12,10,6
white,0.19,0.047,0.99283,3.12,11,6
white,0.25,0.052,0.99398,3.16,10.5,6
white,0.25,0.052,0.99398,3.16,10.5,6
white,0.19,0.047,0.99283,3.12,11,6
white,0.24,0.046,0.9908,3.12,11.4,7
white,0.18,0.039,0.99165,3.16,11.3,6
white,0.33,0.031,0.99076,2.97,12.2,7
white,0.29,0.037,0.98942,2.9,12.6,7
white,0.31,0.032,0.99244,2.9,11.1,5
white,0.29,0.035,0.99058,3.26,12.3,6
white,0.19,0.037,0.99255,2.92,10.4,4
white,0.32,0.06,0.99916,3.13,8.8,6
white,0.085,0.036,0.99306,3.27,9.5,6
white,0.32,0.06,0.99916,3.13,8.8,6
white,0.18,0.047,0.99498,3.42,10.4,6
white,0.52,0.038,0.99,3.11,13,7
white,0.28,0.03,0.99338,3.16,12.2,7
white,0.15,0.035,0.99456,3.03,10.5,8
white,0.275,0.043,0.9926,3.33,10.8,7
white,0.53,0.036,0.98856,3.2,13.2,8
white,0.32,0.032,0.98946,3.16,13,8
white,0.22,0.049,0.99346,3.5,10,6
white,0.6,0.05,0.99268,3.42,10.4,4
white,0.26,0.034,0.98944,3.16,12.4,6
white,0.29,0.035,0.98976,3.27,12.9,8
white,0.53,0.036,0.98856,3.2,13.2,8
white,0.21,0.038,0.99523,3.02,10.5,7
white,0.32,0.032,0.98946,3.16,13,8
white,0.27,0.03,0.99402,3.07,11.2,5
white,0.37,0.029,0.98916,3.41,12.7,7
white,0.21,0.044,0.99655,3.14,9.4,6
white,0.3,0.025,0.99071,3.03,12.9,7
white,0.41,0.032,0.98889,2.96,13,8
white,0.3,0.029,0.98742,3.31,13.6,7
white,0.34,0.053,0.99336,3.32,9.1,5
white,0.25,0.049,0.992,3.25,10.4,6
white,0.3,0.029,0.98742,3.31,13.6,7
white,0.58,0.032,0.99275,3.28,12.2,6
white,0.23,0.085,1.00044,3.1,8.7,5
white,0.2,0.037,0.99444,3.04,10.5,7
white,0.15,0.044,0.99742,3.24,10.2,6
white,0.22,0.027,0.99228,3.06,12.5,8
white,0.16,0.051,0.99058,3.11,11.3,7
white,0.15,0.044,0.99742,3.24,10.2,6
white,0.31,0.028,0.99164,3.13,12.6,7
white,0.15,0.044,0.99742,3.24,10.2,6
white,0.3,0.087,0.99438,3.09,9.8,5
white,0.16,0.03,0.99402,3.15,10.8,5
white,0.21,0.04,0.99128,3.32,12.5,6
white,0.22,0.027,0.99228,3.06,12.5,8
white,0.21,0.027,0.991,3.3,11.5,7
white,0.22,0.027,0.9931,2.98,11.4,6
white,0.2,0.037,0.99444,3.04,10.5,7
white,0.31,0.028,0.99164,3.13,12.6,7
white,0.23,0.085,1.00044,3.1,8.7,5
white,0.15,0.053,0.99112,3.17,11,6
white,0.16,0.051,0.99058,3.11,11.3,7
white,0.15,0.044,0.99742,3.24,10.2,6
white,0.22,0.036,0.98961,3.06,11.6,6
white,0.3,0.087,0.99438,3.09,9.8,5
white,0.3,0.076,0.99344,3.1,10.1,5
white,0.26,0.05,0.99904,3.06,9.2,5
white,0.24,0.05,0.99884,3.05,9.1,6
white,0.24,0.05,0.99884,3.05,9.1,6
white,0.24,0.05,0.99884,3.05,9.1,6
white,0.24,0.05,0.99884,3.05,9.1,6
white,0.15,0.037,0.98949,2.96,11.7,6
white,0.34,0.041,0.99014,3.23,12.6,6
white,0.35,0.088,0.99786,2.86,9,5
white,0.31,0.039,0.99206,3.12,10.1,5
white,0.67,0.02,0.98722,3.3,13.6,5
white,0.24,0.05,0.99884,3.05,9.1,6
white,0.2,0.045,0.99666,3.09,9.2,5
white,0.28,0.049,0.99754,3.12,8.8,5
white,0.18,0.028,0.99272,2.83,10,4
white,0.35,0.036,0.99712,3.47,9.1,6
white,0.22,0.041,0.99104,3.04,11.2,5
white,0.18,0.053,0.99373,3.11,9.2,6
white,0.26,0.05,0.99904,3.06,9.2,5
white,0.3,0.038,0.9956,3.18,9.5,5
white,0.34,0.024,0.99095,3.35,11.9,7
white,0.3,0.068,0.99382,3.11,9.8,5
white,0.31,0.069,0.99382,3.11,9.8,5
white,0.265,0.036,0.99299,3.36,10.8,7
white,0.255,0.051,0.99048,3.37,11.3,6
white,0.26,0.028,0.99254,3.17,12.1,6
white,0.17,0.03,0.9902,3.38,11.3,7
white,0.265,0.036,0.99299,3.36,10.8,7
white,0.2,0.028,0.99012,3.36,13.5,7
white,0.28,0.044,0.99293,3.28,10.3,5
white,0.22,0.035,1.00022,3.11,9,6
white,0.34,0.041,0.99382,3.08,11.6,6
white,0.28,0.044,0.99293,3.28,10.3,5
white,0.19,0.029,0.98954,3.21,12.5,6
white,0.21,0.042,0.99936,3.39,8.6,5
